year,course,number,median_hsc,median_band,pct_b6,pct_b5,pct_b4,pct_b3,pct_b2
2021,Construction Exam,1607.0,77.0,4,6.0,35.0,31.0,21.0,6.0
2021,Electrotechnology Exam,231.0,66.0,3,3.0,8.0,24.0,48.0,15.0
2021,Entertainment Industry Exam,827.0,80.0,5,13.0,41.0,32.0,11.0,2.0
2021,Financial Services Exam,111.0,72.0,4,6.0,22.0,38.0,29.0,5.0
2021,Hospitality Exam,4467.0,74.0,4,4.0,26.0,35.0,24.0,9.0
2021,Human Services Exam,673.0,71.0,4,,11.0,47.0,34.0,7.0
2021,Information & Digital Technology Exam,418.0,74.0,4,2.0,22.0,44.0,24.0,6.0
2021,Primary Industries Exam,526.0,74.0,4,5.0,22.0,46.0,22.0,3.0
2021,Retail Services Exam,776.0,69.0,3,1.0,8.0,40.0,32.0,15.0
2021,"Tourism, Travel & Events Exam",133.0,75.0,4,2.0,18.0,59.0,15.0,5.0
2022,Aboriginal Studies,737.0,74.0,4,15.0,20.0,24.0,22.0,14.0
2022,Agriculture,1464.0,71.0,4,8.0,18.0,27.0,29.0,13.0
2022,Ancient History,6336.0,74.0,4,9.0,25.0,30.0,20.0,11.0
2022,Biology,18891.0,71.0,4,6.0,20.0,27.0,26.0,16.0
2022,Business Studies,17950.0,74.0,4,10.0,24.0,30.0,25.0,8.0
2022,Chemistry,9929.0,74.0,4,9.0,24.0,31.0,21.0,11.0
2022,Community & Family Studies,8964.0,76.0,4,6.0,27.0,42.0,20.0,5.0
2022,Dance,840.0,83.0,5,19.0,47.0,26.0,8.0,
2022,Design & Technology,3622.0,79.0,4,13.0,34.0,35.0,14.0,3.0
2022,Drama,3231.0,82.0,5,21.0,38.0,29.0,11.0,1.0
2022,Earth & Environmental Science,2224.0,75.0,4,6.0,27.0,36.0,23.0,8.0
2022,Economics,5378.0,79.0,4,15.0,35.0,26.0,17.0,6.0
2022,Engineering Studies,2346.0,74.0,4,9.0,21.0,32.0,24.0,12.0
2022,English Studies Exam,1273.0,57.0,2,,,7.0,27.0,54.0
2022,English Standard,30643.0,71.0,4,1.0,15.0,40.0,32.0,11.0
2022,English Advanced,24661.0,83.0,5,15.0,53.0,26.0,6.0,1.0
2022,English EAL/D,1487.0,68.0,3,4.0,15.0,27.0,28.0,18.0
2022,English Extension 1,3427.0,43.0,E3,,,40.0,53.0,7.0
2022,English Extension 2,1242.0,41.0,E3,,,29.0,56.0,14.0
2022,Food Technology,3639.0,72.0,4,9.0,21.0,27.0,29.0,10.0
2022,Geography,4053.0,77.0,4,11.0,31.0,31.0,17.0,7.0
2022,Industrial Technology,5673.0,70.0,4,8.0,14.0,29.0,36.0,11.0
2022,Information Processes & Technology,1808.0,74.0,4,6.0,22.0,37.0,20.0,12.0
2022,Investigating Science,2695.0,73.0,4,4.0,21.0,38.0,23.0,9.0
2022,Legal Studies,10225.0,76.0,4,15.0,26.0,25.0,19.0,10.0
2022,Mathematics Standard 1 Exam,1410.0,73.0,4,4.0,23.0,38.0,23.0,10.0
2022,Mathematics Standard 2,29874.0,71.0,4,7.0,22.0,25.0,28.0,15.0
2022,Mathematics Advanced,16865.0,79.0,4,23.0,26.0,27.0,18.0,5.0
2022,Mathematics Extension 1,8679.0,82.0,E3,,,35.0,39.0,20.0
2022,Mathematics Extension 2,3271.0,86.0,E3,,,40.0,46.0,11.0
2022,Modern History,10153.0,75.0,4,10.0,25.0,33.0,21.0,9.0
2022,History Extension,1532.0,41.0,E3,,,25.0,58.0,14.0
2022,Music 1,4263.0,84.0,5,22.0,48.0,20.0,9.0,2.0
2022,Music 2,684.0,87.0,5,34.0,52.0,13.0,1.0,
2022,Music Extension,353.0,47.0,E4,,,76.0,21.0,3.0
2022,PDH&PE,15883.0,70.0,4,5.0,21.0,24.0,30.0,17.0
2022,Physics,7633.0,76.0,4,12.0,29.0,27.0,19.0,9.0
2022,Science Extension,658.0,38.0,E3,,,8.0,71.0,21.0
2022,Society & Culture,4614.0,78.0,4,11.0,32.0,32.0,18.0,5.0
2022,Software Design & Development,1806.0,76.0,4,14.0,24.0,32.0,17.0,10.0
2022,Studies of Religion I,8433.0,39.0,4,10.0,30.0,39.0,16.0,3.0
2022,Studies of Religion II,6091.0,79.0,4,10.0,36.0,33.0,14.0,5.0
2022,Textiles & Design,1485.0,81.0,5,17.0,37.0,25.0,14.0,5.0
2022,Visual Arts,8177.0,83.0,5,16.0,49.0,26.0,7.0,1.0
2022,Arabic Continuers,294.0,82.0,5,16.0,48.0,28.0,7.0,1.0
2022,Arabic Extension,70.0,41.0,E3,,,16.0,74.0,9.0
2022,Armenian Continuers,20.0,80.0,5,20.0,30.0,45.0,5.0,
2022,Chinese Beginners,59.0,83.0,5,31.0,25.0,27.0,7.0,2.0
2022,Chinese Continuers,207.0,87.0,5,41.0,34.0,18.0,6.0,
2022,Chinese Extension,61.0,45.0,E4,,,59.0,39.0,2.0
2022,Chinese & Literature,330.0,85.0,5,24.0,48.0,22.0,5.0,1.0
2022,Chinese in Context,152.0,91.0,6,61.0,28.0,7.0,1.0,2.0
2022,Classical Hebrew Continuers,19.0,90.0,6,53.0,16.0,26.0,5.0,
2022,Filipino Continuers,10.0,90.0,6,60.0,30.0,10.0,,
2022,French Beginners,323.0,76.0,4,23.0,20.0,21.0,26.0,8.0
2022,French Continuers,514.0,82.0,5,26.0,32.0,27.0,11.0,3.0
2022,French Extension,98.0,40.0,E3,,,13.0,73.0,13.0
2022,German Beginners,91.0,82.0,5,33.0,25.0,13.0,19.0,10.0
2022,German Continuers,143.0,81.0,5,27.0,30.0,28.0,11.0,4.0
2022,German Extension,37.0,45.0,E4,,,62.0,35.0,3.0
2022,Hindi Continuers,32.0,86.0,5,25.0,59.0,6.0,6.0,3.0
2022,Hungarian Continuers,12.0,88.0,5,42.0,42.0,17.0,,
2022,Indonesian Beginners,27.0,85.0,5,26.0,37.0,22.0,15.0,
2022,Indonesian Continuers,45.0,87.0,5,40.0,33.0,16.0,7.0,4.0
2022,Indonesian Extension,14.0,43.0,E3,,,36.0,43.0,14.0
2022,Italian Beginners,282.0,78.0,4,23.0,23.0,26.0,16.0,9.0
2022,Italian Continuers,181.0,80.0,5,21.0,34.0,35.0,7.0,3.0
2022,Italian Extension,33.0,44.0,E3,,,39.0,61.0,
2022,Japanese Beginners,636.0,72.0,4,10.0,22.0,24.0,18.0,18.0
2022,Japanese Continuers,746.0,82.0,5,24.0,34.0,23.0,14.0,3.0
2022,Japanese Extension,161.0,44.0,E3,,,45.0,45.0,9.0
2022,Japanese in Context,44.0,89.0,5,43.0,45.0,9.0,2.0,
2022,Khmer Continuers,12.0,86.0,5,25.0,75.0,,,
2022,Korean Beginners,110.0,82.0,5,26.0,30.0,25.0,15.0,4.0
2022,Korean Continuers,14.0,78.0,4,21.0,21.0,50.0,7.0,
2022,Korean & Literature,30.0,86.0,5,23.0,50.0,23.0,3.0,
2022,Korean in Context,51.0,92.0,6,63.0,22.0,12.0,4.0,
2022,Latin Continuers,141.0,87.0,5,38.0,36.0,18.0,4.0,2.0
2022,Latin Extension,83.0,47.0,E4,,,78.0,17.0,4.0
2022,Macedonian Continuers,16.0,74.0,4,13.0,31.0,13.0,25.0,19.0
2022,Modern Greek Beginners,75.0,90.0,6,52.0,32.0,8.0,5.0,3.0
2022,Modern Greek Continuers,80.0,87.0,5,39.0,38.0,19.0,1.0,4.0
2022,Modern Greek Extension,23.0,43.0,E3,,,35.0,65.0,
2022,Modern Hebrew Continuers,31.0,95.0,6,84.0,10.0,6.0,,
2022,Persian Continuers,24.0,91.0,6,54.0,38.0,8.0,,
2022,Polish Continuers,15.0,94.0,6,67.0,33.0,,,
2022,Portuguese Continuers,14.0,85.0,5,29.0,43.0,,29.0,
2022,Punjabi Continuers,19.0,80.0,5,16.0,42.0,42.0,,
2022,Russian Continuers,28.0,89.0,5,46.0,50.0,,4.0,
2022,Serbian Continuers,22.0,90.0,6,50.0,36.0,9.0,5.0,
2022,Spanish Beginners,237.0,80.0,5,24.0,27.0,30.0,18.0,1.0
2022,Spanish Continuers,148.0,83.0,5,15.0,43.0,27.0,14.0,1.0
2022,Spanish Extension,32.0,45.0,E4,,,56.0,34.0,9.0
2022,Swedish Continuers,14.0,92.0,6,57.0,43.0,,,
2022,Tamil Continuers,48.0,92.0,6,75.0,25.0,,,
2022,Turkish Continuers,41.0,84.0,5,34.0,39.0,22.0,5.0,
2022,Vietnamese Continuers,155.0,79.0,4,8.0,42.0,35.0,10.0,5.0
2022,Automotive Exam,211.0,69.0,3,4.0,6.0,35.0,40.0,10.0
2022,Business Services Exam,1176.0,75.0,4,3.0,29.0,36.0,24.0,8.0
2022,Construction Exam,1709.0,77.0,4,8.0,33.0,35.0,20.0,3.0
2022,Electrotechnology Exam,236.0,64.0,3,2.0,7.0,24.0,32.0,29.0
2022,Entertainment Industry Exam,651.0,78.0,4,20.0,28.0,34.0,15.0,4.0
2022,Financial Services Exam,77.0,70.0,4,3.0,19.0,31.0,42.0,4.0
2022,Hospitality Exam,4300.0,77.0,4,6.0,34.0,36.0,18.0,6.0
2022,Human Services Exam,599.0,72.0,4,1.0,12.0,52.0,33.0,3.0
2022,Information & Digital Technology Exam,383.0,74.0,4,1.0,20.0,46.0,25.0,7.0
